蓖	pē	
𨋩	bıuŋ̍	
閟	pıı̀	
嗶	pȷın̍	
𡻞	pȷın̍	
𤗚	bıŋ̍	
𤗚	pxıŋ̍	
鉍	pıı̀	
鉍	pın̍	
飶	ben̍	
飶	bȷın̍	
腷	bıŋ̍	
痹	pȷıı̀	
痺	pȷē	
痺	pȷıı̀	
滭	pȷın̍	
裨	bȷē	
裨	pȷē	
彃	pȷın̍	
𡠚	pȷın̍	
㻫	pȷın̍	
碧	pıeŋ̍	
𢳋	pȷé	
䩛	bȷın̍	
鞁	bıè	
蔽	pȷed̀	
㮿	pȷın̍	
㪤	pȷın̍	
稫	pxıŋ̍	
馝	ben̍	
馝	bȷın̍	
箅	pè	
弊	bȷed̀	
𡚁	bȷed̀	
幣	bȷed̀	
熚	pȷın̍	
𥛘	pȷın̍	
鄪	pıı̀	
䪐	pıı̀	
綼	bȷın̍	
綼	peŋ̍	
髲	bıè	
駜	bın̍	
駜	bȷın̍	
𢴩	pın̍	
𣘥	bè	
𥀕	pȷın̍	
罼	pȷın̍	
䫁	bȷıı̀	
𤹝	bȷıı̀	
𥻅	bıŋ̍	
獘	bȷed̀	
潷	pın̍	
𩋇	pen̍	
薜	bè	
薜	preŋ̍	
觱	pȷın̍	
觱	yon̍	
䯗	bé	
篳	pȷın̍	
篦	pē	
鮅	bȷın̍	
鮅	pȷın̍	
廦	peŋ̍	
廦	pȷxeŋ̍	
壁	peŋ̍	
避	bȷè	
嬖	pè	
縪	pȷın̍	
䟆	pȷın̍	
鞞	bē	
鞞	peŋ́	
鞞	pȷē	
鞞	pȷé	
𣝍	bıeŋ̍	
㱸	beŋ̍	
㱸	bȷeŋ̍	
蹕	pȷın̍	
髀	bé	
髀	pȷé	
髀	pȷıı́	
斃	bȷed̀	
濞	pxè	
濞	pxıı̀	
𨐨	pȷeŋ̍	
𣦢	pȷeŋ̍	
臂	pȷè	
奰	bıı̀	
𦌠	breŋ̍	
𤐧	bıŋ̍	
鏎	pȷın̍	
饆	pȷın̍	
鄨	pȷed̀	
鄨	pȷen̍	
璧	pȷeŋ̍	
𥴬	bè	
襣	bȷıı̀	
襞	pȷeŋ̍	
繴	breŋ̍	
繴	peŋ̍	
韠	pȷın̍	
躃	bȷeŋ̍	
躄	pȷeŋ̍	
鷝	pȷxın̍	
鷝	pȷın̍	
